scenario_id,success_rate_mean,success_rate_stdev,disk_burden_mean,disk_burden_stdev,latency_mean,latency_stdev
1a,96.11111111111111,0.9562921842487462,207.55119,10.931617346684495,425.7768889786388,26.579172376264097
1b,100.0,0.0,98.01858,10.21124494442823,348.2462962962963,47.262197676558664
1c,100.0,0.0,511.46936999999997,0.8552242032875822,322.0907407407407,7.991183365659941
1d,100.0,0.0,514.47039,0.7389513221827166,261.52962962962965,13.386530679287144
1e,98.70370370370371,1.1712139482105135,128.48475000000002,1.160401700801162,412.72112783770825,8.632235622843575
1f,100.0,0.0,30.76875,1.214291458926655,380.90370370370374,23.120253645644265
1g,96.11111111111111,0.9562921842487462,2190.87151,39.230818708777896,391.2570381752966,28.581504662429186
1h,100.0,0.0,2007.95602,108.49237380878998,331.29814814814813,34.72278155928086
1i,96.01851851851852,0.4472647143885619,977.93598,15.920342623323158,448.55415421956684,20.511136655078104
1j,100.0,0.0,758.6521,60.570472451920736,347.462037037037,37.858291273446305
2a,93.98148148148148,1.3275193313337386,127.10685,6.547499470323685,1096.6656895562596,77.13412355083983
2b,100.0,0.0,61.40855,13.877227396249662,350.06111111111113,131.83211818272906
2c,100.0,0.0,328.25354,3.4918604761486254,943.2231481481481,73.64670587110663
2d,100.0,0.0,350.62924,0.7793568690486672,515.0388888888889,30.207554008205715
2e,100.0,0.0,116.37273,3.195983463679236,1079.1324074074073,47.60726784719655
2f,100.0,0.0,41.7653,1.7090839190110645,565.2472222222223,24.84774665501348
2g,93.7037037037037,2.1294059642790573,559.76529,13.007993943166042,864.4629038115755,28.49242152525269
2h,100.0,0.0,399.04784,53.82295426088514,357.27222222222224,89.95793613454204
2i,89.25925925925925,1.756820922315765,465.60733,14.123311063238678,1051.9273272449568,83.57247426120142
2j,100.0,0.0,357.43853,62.49056861646404,608.4074074074074,148.5376260888847
3a,98.88888888888889,0.3904046494035027,226.51229999999998,12.496062088336291,410.4657379650855,27.8788801706001
3b,100.0,0.0,106.75813,7.791816814531908,306.34444444444443,34.322143043879464
3c,100.0,0.0,514.85454,0.7857537162919803,313.70185185185187,11.685793159821017
3d,100.0,0.0,515.6894500000001,0.6458338851610548,270.4583333333333,7.15518541257812
3e,100.0,0.0,135.41163,3.662462371759682,482.61574074074076,13.728716502198749
3f,100.0,0.0,31.31182,1.3174441736432965,374.2898148148148,12.512835240777406
3g,98.51851851851852,0.47814609212437137,2377.44933,48.45677910463783,325.9254099806031,21.571800385609784
3h,99.9074074074074,0.29280348705262704,1966.4811,204.64521235602956,243.1657926618207,42.91624403002636
3i,98.61111111111111,0.7868857274062977,1005.95225,53.10404040148713,391.9396585804133,19.391280248757155
3j,100.0,0.0,804.49853,51.03947352205937,326.17962962962963,22.243182501831537
