scenario_id,success_rate_mean,success_rate_stdev,disk_burden_mean,disk_burden_stdev,latency_mean,latency_stdev
1a,98.05555555555556,0.9207675240849604,109.94038,7.563728106312536,228.00634121902903,26.140389673513653
1b,100.0,0.0,53.0044,10.197572156482476,179.85,55.031705608324145
1c,100.0,0.0,511.42705,0.7758617363221905,319.8435185185185,8.661991205259563
1d,100.0,0.0,514.7192,0.3532351624626326,259.11296296296297,5.3269902552087105
1e,99.62962962962963,0.6474128692408329,127.4187,0.9382810358427923,421.59381681981756,12.81239837121583
1f,100.0,0.0,30.608150000000002,1.4736665318932305,374.08796296296293,18.982592183703545
1g,97.5,0.7622894466190455,1158.00415,110.5752228867274,212.37959454405583,15.421321552826937
1h,100.0,0.0,1025.36498,118.37955921998244,144.64444444444445,27.265254683206255
1i,98.05555555555556,0.9207675240849603,548.69203,40.89170529198775,243.5670581040269,21.646998641071292
1j,100.0,0.0,412.46048,55.335397755642006,184.30648148148148,31.410862287776133
2a,98.33333333333333,1.0511966892547189,49.446799999999996,7.371242645126623,472.0985410036583,56.64121028638403
2b,100.0,0.0,34.77293,5.630937243291643,150.4185185185185,51.43487983892949
2c,100.0,0.0,329.12007,2.626477093857012,905.812962962963,39.36227114544048
2d,100.0,0.0,350.55240000000003,0.5159754236179983,520.8972222222222,21.393701670241903
2e,100.0,0.0,117.6925,4.563335424883866,1064.737962962963,73.52929066239346
2f,100.0,0.0,41.4004,1.7553838307713026,550.5416666666666,26.706583154544134
2g,97.77777777777777,0.7808092988070119,209.08996,19.457554676566,335.6026321484605,38.358992973996806
2h,100.0,0.0,189.08473,36.84570041155263,138.6888888888889,40.148666154616116
2i,96.48148148148148,1.3664162729122644,164.77757,18.66260872332995,375.763348914783,54.06366070617097
2j,100.0,0.0,161.90687,32.12673732073748,239.05833333333334,49.986413534738055
3a,99.16666666666667,0.29280348705262704,113.01792,12.404286055123583,209.66468501211492,18.584381769342396
3b,100.0,0.0,54.72332,5.641096061700538,168.54907407407407,15.874065630704676
3c,100.0,0.0,514.504,0.6144658204037479,315.30925925925925,11.41028736827214
3d,100.0,0.0,515.71738,0.39044926487886084,272.81944444444446,5.1872336672283375
3e,98.79629629629629,1.383735294534563,135.64481,4.11569578981894,473.5555065427235,32.56211100509466
3f,100.0,0.0,32.10086,2.286806214497999,381.2648148148148,11.15579765721366
3g,99.35185185185185,0.4472647143885619,1218.35304,88.06355695467526,171.4050709588093,21.65387850238365
3h,100.0,0.0,1030.89794,165.7644808723456,117.25,22.74085844998423
3i,98.98148148148148,0.29280348705262704,513.9773,63.91657549544127,209.2932992417563,19.929250023533786
3j,100.0,0.0,408.88899,71.63459343947432,152.9388888888889,30.515272798258607
